,text
1062,"@boucher Yes, but if company A has 90 day exercise and company B has 10 year exercise then 0.1% of company A &gt; 0.1% of company B."
1063,@boucher I agree with that. I just think the answer has to be more comprehensive.
1064,@NaithanJones don't knock a hustle
1065,"@NaithanJones I think that part of it is feeling like you are doing something real, so that you don't feel obligated to get a real job."
1066,@NaithanJones perhaps their target market is technologically challenged O.G.s
1067,"@harryh I agree, but it's false to say that e.g. 0.2% of co. with a 90 day exercise is = 0.2% with a 10 yr one. Need a redesign not a hack."
1068,@birsic I think we need transparent plans that reflect the desired incentive structure rather than a hack on a bad plan.
1069,@r0unak @skupor I agree. The question is who do you want to own the company? People must be paid for work done. No question. Cash or stock?
1070,@harryh I agree that a hack is better than nothing at all.
1071,@andrzejb200sx @harryh I agree that cap tables are way too opaque.
1072,Congratulations to the @anki team on a very exciting new product https://t.co/nzrdsekEDl !!
1073,This is an incredibly important and often overlooked component of prison reform. https://t.co/h8PQSzdIAz
1074,John's thinking here was and is so contrarian that it's still hard to believe. True genius meets legendary courage. https://t.co/tz6OGU6ozG
1075,@kautuhala go with no leverage in a business where 100% of the competition uses massive leverage and beating them all.
1076,"@RyanCTJ I think that the big impact won't be in writing rhymes, but in much smarter distribution strategies."
1077,"@TheSunQueen @BestOfBecca that's true, but the people with those traits are still far from ready for the job."
1078,"Podcast with me and @skupor on option exercises, incentives, and the whole hairball of issues https://t.co/OGXPNZwC3I"
1079,@cmschroed @skupor https://t.co/OGXPNZwC3I
1080,@AlexCartaz @skupor https://t.co/OGXPNZwC3I
1081,@joeolson2009 The problem with that is that accounting law makes it illegal to forgive those loans if the stock drops.
1082,@joeolson2009 Potentially. I just don't know who would write that policy.
1083,"New podcast with me, @pmarca and @skupor on what's next https://t.co/K9QM6WTnDU"
1084,"@TeddyBeingTeddy My Mind Playing Tricks On Me. My favorite line is ""cause two suckers can't agree on something, 1000 mfs dying for nothing."""
1085,"@jyothirmayee that's really a function of the team, the code, and how good the adjacent oppty looks. Sometimes shutdown is better."
1086,@afrococoapuffs @iamdanielreji @FeliciaHorowitz Yes sir
1087,"@wfjackson3 @iamdanielreji BBQ -- all slow cook. Ribs, Brisket, Shoulder."
1088,"@labellavitaa_MB No, I Bobby Shmurda represent all employees. That's very clear from the presentation. It's incidental that he's black."
1089,"@KristofferFurst It is sad, but true :-)."
1090,"@DonaldRichard @pmarca If you're early &amp; you try again in 5 years, it may work. Easier to do as a VC than an entrepreneur. Wrong is wrong."
1091,"@BenedictEvans @balajis Yes. Lately, a lot of people denying that communism historically ends very badly."
1092,"@AndrewThappa @BenedictEvans @balajis Marx and Lenin were literary geniuses. Unfortunately, not so good at the other stuff."
1093,Look at @FeliciaHorowitz with her SuperSoul self!!! Get 'em girl!!! #SuperSoul100 @OWNTV  https://t.co/ime0cdUano
1094,I am so proud of and impressed with @4thlettermusic . He is an inspiration to me. https://t.co/0wvTqGZAVX
1095,"@AnotherRunner1 how do you know that? Ah, you're just making racist assumptions. Got it."
1096,@LupeFiasco @Genius yes. They have agreements with all the publishers.
1097,"@OnyeaboAduba True! Or as Trump would say, Sad!"
1098,"@daniellenewnham @Johannesjoogi @TransferWise No, I got a bad reference from @pmarca"
1099,@JimCavale @LilTunechi it's always good like grandma cookies
1100,"@Kenin3D @CODE2040 I got them keys, keys, keys. we go to court we gon' plead the fifth I know the judge Ima shoot him some chips . . ."
1101,@MClarkFitness @SportsCenter haha! Good for him!
1102,@mustefaJ @chrisferg @amazon you miss the point. I grew up poor and hip hip un poored me. I did not trap though.
1103,"@mustefaJ @NaithanJones In this conversation and in life, we need to focus more on what we have in common and less on differences."
1104,"@AGSpinelli They are not lacking money from Oakland. The city has prioritized the A's over the Raiders, so the Raiders can't build there."
1105,Is a mark a return? Nope. Not even close https://t.co/OGOW6FcFwW @a16z
1106,@tomaprieto @a16z I don't know. There should be a financial literacy test.
1107,"@hvasquez @a16z I can't say for sure, but probably a bit of both."
1108,@epmordi @WSJ I think somebody put Haterade in their water cooler.
1109,@StephenNellis Apparently not. Marks are only comparable if you use the same method and the @WSJ did not.
1110,"@StephenNellis @a16z You can evaluate all you like, just compare apples to apples not OPM to Waterfall."
1111,"@StephenNellis @a16z Fund 1, (the only one close to old enough to eval) has returned over 2X the cash and still has Slack and Okta in it."
1112,"@StephenNellis @WSJ They are regulated, but the regulation allows for 3 different accounting methods!!"
1113,"@StephenNellis You know that there is ""ask""to get information and ""ask"" for a quote after the story was written. He did the latter."
1114,. @StephenNellis @WSJ The marks ARE regulated. The regulation allows for 3 different methods. The LPs get tons of info beyond marks.
1115,@MtotheizHphenom @pmarca Good question. I don't think any of them even aim to be predictive.
1116,"@StephenNellis @WSJ Yes, we are required to by law. They are SEC regulations."
1117,"@MtotheizHphenom @pmarca great question. We use OPM, because it is the most conservative and focus on cash returned and price paid."
1118,@StephenNellis I just said that we disclose all the numbers including returns to every LP (every quarter by the way).
1119,. @StephenNellis It's weird that you think that the extremely smart managers at these LPs don't know anything. They know everything.
1120,@StephenNellis No they didn't. They had what they needed for their story and only disclosed the meaningless part of that.
1121,"This is so true. LPs understand this stuff 1,000 times better than the @WSJ https://t.co/FliPAYpbK1"
1122,. @algierz @Dreymann @WSJ @pmarca @a16z @skupor He gets all credit and all praises due!!!!!
1123,@OnyeaboAduba @WSJ it started with malicious intent and was propelled by ignorance.
1124,"@TedDundon @a16z I think Sequoia probably used OPM, but not sure :-)"
1125,"@profjsb @a16z yes, but not us :-)"
1126,@MeganCaywood @nick_biggam Good choice :-)
1127,Here's an eBook of the blog posts after THAHT https://t.co/M1ulukx7d1
1128,"@TuurDemeester @alexlaprade @a16z Ha! No, that's a reference to Jim Barksdale who was the CEO of Netscape when I wrote that piece in 1995."
1129,"@Darell_AustinJr @4thlettermusic He is actually from the 80s, so that makes sense. He had to go away for a while, but he came back strong."
1130,I am very excited about Point and this amazing innovation in the housing market https://t.co/bSIjLQrn9I @arampell
1131,Now that's a valuable degree! https://t.co/WlOAXNoTvw @udacity
1132,I am so impressed with how @apoorva_mehta and team have grown market share while running a tight ship financially. https://t.co/IcwYADxJkL
1133,Nice post from @johnzimmer on the future of transportation https://t.co/4wPKzydi9S
1134,An honor to have the great @SteveStoute join the @Genius board.
1135,@JulianMiller @synopsi @a16z He was making a point how a person should live their life not how society should work.
1136,"@JulianMiller @synopsi @a16z I can't speak for David, but you should listen to the interview."
1137,https://t.co/xRtcvxwJ9s
1138,@lamdiana58 his widow sent me the most incredible thank you note that I have ever received letting me know what it meant to her family.
1139,Nana is fired up! This is a great post https://t.co/01X0M5QkoB … @FeliciaHorowitz
1140,@yoda doppleganger
1141,Go Nas!!! https://t.co/wPIn8x1Oo8
1142,Two in the box only works for shoes. https://t.co/fh9ZpkMii3
1143,"@charlieykim yes, the problem is scale. That will work fine in a 6 person company too."
1144,This is an amazing post from @FeliciaHorowitz https://t.co/dKlQqFqn4c
1145,@dougdurando So you should write a post that addresses the concerns. The post was quite obviously about something else -- perspective.
1146,I cried! https://t.co/gUSEmQPQ7k
1147,Big deal for @Foursquare! Congratulations @JeffGlueck @dens and team! https://t.co/3vTiLQwBdN
1148,@blahblahblah9tn @LaurenBerson Yes sir.
1149,@blahblahblah9tn @LaurenBerson I blame that on Napoleon double crossing Toussaint after the war.
1150,@mcbyrne @realDonaldTrump Why blame the software that was home to 4 of the 5 pres candidates? Blame Hillary for not using @NationBuilder
1151,@mcbyrne true democracy is about empowering everyone to run -- that's why @NationBuilder. You are advocating for kings and serfs.
1152,"@mcbyrne @gobleandrew So, who gets to decide who is fascist and who is a great person? Software companies?"
1153,"@mcbyrne When you declare yourself the moral authority and demand that software companies side with your candidate, you are the totalitarian"
1154,"@mcbyrne It's community organizing software. Having a software company decide who is an appropriate candidate, is fascist behavior."
1155,"@mcbyrne As long as you call being pro democracy ""mercenary"", I have no interest."
1156,@mcbyrne You obviously know nothing about me.
1157,@FCaliz You either let everyone use the software or you anoint yourself the arbiter of democracy.
1158,"@FCaliz am arguing that a software company shouldn't decide who is a totalitarian, because I am not one."
1159,"@harryh it's far from done, but the City of Oakland is the problem. Mark Davis wants to stay. The city keeps lying to the press."
1160,@harryh definitely screwed up! I think they may end up staying in Oakland nonetheless 😀
1161,@susanloulou Yes. It was a small gesture to help women (young women especially) feel like it was about them.
1162,"@tristanwalker 1/sets precedent that an election result is not 100% valid 2/define ""overwhelming"" 3/disenfranchises approx 1/2 the country."
1163,"So exciting that people can try Spatial OS, a transformational product! Congrats @HermanNarula and @Improbableio https://t.co/BOBZNZIcmZ"
1164,A great overview of Improbable launch &amp; Spatial OS @HermanNarula https://t.co/2hcpZBIPVL
1165,@BrianNyeko That's in the contract. I am not sure when @HarperCollins is set to release it.
1166,"@BrianNyeko @HarperCollins OK, that must be part of their marketing strategy as they own the rights to it."
1167,@theonlybalaji Part of being an entrepreneur is getting connected. You can't just sit in your underwear and build a product. More too it.
1168,@theonlybalaji That wasn't the point. The point was that sometimes it makes sense to bet on the entrepreneur.
1169,@theonlybalaji Ask Herb if he knew anything at all about data center automation. I think that you will find the story to be quite genuine.
1170,A great choice to head the FDA will be @balajis ! I hope he gets it as he will surely save 100s of thousands of lives.
1171,A new post from @johnzimmer and @logangreen on the end of traffic https://t.co/M2Zx4V1lR4
1172,@timrchavez I thought that was one of my better lines.
1173,@theonlybalaji @leimer There is no data source that I know of.
1174,Nice post by @jasonrosenthal on hard tech startups https://t.co/a5e46JsUbE
1175,@mgav Nope. Please just don't seem to have the courage :-).
1176,I replaced my public email address with a https://t.co/rVl4nfafwT profile:  https://t.co/F5PdnELc8x All proceeds  donated to @BlackGirlsCode
1177,@iArturs @BlackGirlsCode @21 I can always raise the price!
1178,@ruslanvs1 @BlackGirlsCode @21 I raised it to $20. May need to raise it to $100 to catch up!
1179,@sunnyrjuneja @BlackGirlsCode I did. I was getting more emails that I could reply to!
1180,@mattocko @balajis @BlackGirlsCode @21 I raised to to $20. I think that I need to learn to type faster or raise it to $100.
1181,"@bedehomender @BlackGirlsCode It not only cleared, but I had to raise it to $20 and that cleared. I may raise it to $100 next."
1182,@mdonahoe @yuval @21 I had to raise the price. Too many emails!!!
1183,"1/Good news is that @21 and I raised $1,360 for @BlackGirlsCode in the last couple of days answering email."
1184,"2/More good news, is that @21 is setting things up so that I can quintuple match it which will bring the total to: $8,160 @BlackGirlsCode"
1185,"3/Bad news is that I got so many emails, that I need to raise the price to $100, so that I could get some of my regular work done. 😮"
1186,From Andy Grove's niece: https://t.co/RDq2QDvh8Y
1187,@CarolMcHugh1 Correct on both points!!
1188,An amazing 5 minute speech by an incredible entrepreneur @pauljudge https://t.co/Z4iOjrOUKT
1189,Moving post by @FeliciaHorowitz on invisible threads and returning to Africa https://t.co/ZyFQo6IjGW
1190,@datniggamobyk @FeliciaHorowitz @Medium because she's also going to Kenya.
1191,"@blahblahblah9tn @IAMJBSC This statement is so ignorant, that it will take multiple replies to clear up."
1192,"@blahblahblah9tn @IAMJBSC 1/As I stated in the lecture, the Haitian economy boomed under the cultural and economic leadership of Toussaint"
1193,"@blahblahblah9tn @IAMJBSC 2/Unfortunately, Napoleon Bonaparte double crossed Toussaint during a meeting set up to negotiate a peace."
1194,"@blahblahblah9tn @IAMJBSC 3/Dessalines then took over, defeated Napoleon with Toussaint's army and reversed Toussaint's cultural decisions."
1195,@blahblahblah9tn @IAMJBSC 4/Notably Dessalines killed all the white people in Haiti. This was the beginning of the end of Toussaint's vision
1196,@blahblahblah9tn @IAMJBSC 5/Please take your wikipedia-level knowledge and use it on someone who knows even less than you.
1197,@blahblahblah9tn That was the general point of the talk.
1198,@blahblahblah9tn Criticizing Toussaint for doing a bad job of succession planning during a slave revolt is kind of silly I think.#priorities
1199,"@blahblahblah9tn True, but totally besides the point of the talk."
1200,"@blahblahblah9tn No doubt that was a mistake, but the point of the talk was what he accomplished leading up to that."
1201,@blahblahblah9tn That wasn't at all the point of the talk. You should watch it before making random comments about it.
1202,@blahblahblah9tn Did you see my talk or are you just yapping about something else?
1203,@blahblahblah9tn That's just it. You have no idea what story I am promoting.
1204,@blahblahblah9tn That's not at all what I said in the presentation.
1205,"@blahblahblah9tn OK, I get it. You don't care what I said, you just want to talk. Talk to yourself then."
1206,Marc is back to answer your questions!! https://t.co/03BpRqj5sS
1207,@smc90 What are you Sam I Am all of the sudden?
1208,@felixsalmon Yes sir!
1209,@lexrodba @StartupGrind I appreciate that!
1210,@jessevolk do you think I should?
1211,@sophmoji I appreciate you for saying that!
1212,My talk on Culture and Revolution https://t.co/gIjuEIeVYc
1213,@nicholaspetrie sure
1214,"@rchphd True, but he didn't win so much as escaped. Still impressive."
1215,"@migueldee @DomBukasa I only had 30 minutes, but am thinking about a book. Be interested to know if you think that's worthwhile."
1216,@CantHuntDis A lot more than racist losers like you. Get out of my feed.
1217,@__malida It's a big rethinking of it and refinement. Basically a test concept for a book.
1218,@LudCruchot @KarenDZachary I explain why in the talk.
1219,"@LudCruchot @KarenDZachary When Dessalines/Napoleon double crossed Toussaint, Dessalines reversed the progress by killing all the whites."
1220,@Astute_Ryan my favorite is The Black Jacobins by CLR James. There is a brand new one that's also good by Phillipe Girard.
1221,@calinative I did not
1222,@MikeCole24 @Migos mama told me not to sell work . . .
1223,@mdvex When haters don't even bother watching or knowing what they hate (Never mind the racism).
1224,"@jrt_trj they escaped, but they did not rise up and defeat the egyptians"
1225,"@psygnisfive i think that played into it, but Toussaint had to see past race to culture in order to pull it off."
1226,@Bodezaffa @kncukier @a16z That was an escape rather than a victory. He did not defeat the Egyptians. He ran away. Still impressive :-).
1227,@zoeschlag I wish I had a process. I just like reading about people and hearing stories about people and sometimes something jumps out.
1228,Congratulations @apoorva_mehta and team! https://t.co/M0r4zFqjAy
1229,"@ntvll @a16z I probably should have said ""recorded history of humanity"", but still the same point -- an exceedingly rare event"
1230,"@alexpotato it would have been better to have a succession plan, but it was a slave revolt, so I understand why he didn't."
1231,"@TheHungLe It was a much weirder thing to be then, but I've not experienced today's challenges personally, so I can't say for sure."
1232,Great essay from @cdixon https://t.co/iOUvNt93GL . . . a new perspective on the history of computer science.
1233,@Dude_Br0 better than Luke Cage?
1234,@tom_futuretech @brwr_ I like that one too. @Drake on the @LilTunechi track.
1235,My thoughts on @okta @toddmckinnon and @fkerrest https://t.co/n63jgrhTGI
1236,"@Kazanjy @stevesi Thanks, fixed."
1237,@pdxgene @wscottiv @a16z @pmarca https://t.co/tFNg1wwvk7
1238,This post by @FeliciaHorowitz is really good and the video of her singing is everything: https://t.co/e6qnO0R1xv
1239,@vojtajina The Black Jacobins by CLR James.
1240,@vojtajina Writing My Wrongs by @ShakaSenghor
1241,"@benthompson @stratechery if I am going to be confused with someone, it's nice to be confused with someone smart."
1242,@BullStern 🔥🔥🔥🔥
1243,@BullStern too early to say. Humble had such a big headstart.
1244,Good luck to @bchesky and team fighting regulatory capture! https://t.co/mC8ESNrfcp
1245,A clear explanation from @OrionHindawi on @Tanium news https://t.co/HZmicCkTkE
1246,A captivating life story plus some interesting original thoughts on inclusion from @NaithanJones https://t.co/xtqnVBcslZ
1247,I don't know that we've invested in anything more important than a user friendly safety net. I am proud to be assoc… https://t.co/oND24PtAzv
1248,The Story Behind Felicia Horowitz's Stunning Dress From The Wearable Art Gala | BLAVITY https://t.co/LlEv952fjX
1249,Here is my talk at the UCLA Distinguished Speaker Series: https://t.co/Y5EYK5J50v
1250,My man @Nas breaking down It Aint Hard to Tell with Professor Lisa New  https://t.co/oYKhayzzON thanks @Dude_Br0 for putting this together.
1251,https://t.co/5KVn3CjkyJ
1252,https://t.co/VWf87QBM5q
1253,"@nbashaw @hardbound To get that honor, it will have to be better than this: https://t.co/VVNibyTZPi @4thlettermusic . Good luck with that."
1254,"I have worked with @pmarca for over 2 decades, but I am still impressed with just how many many things he knows: https://t.co/mBW2heS4TT"
1255,@sophmoji @pmarca It just makes it easier on everybody. We still can't decide if we should be Jewish or not though.
1256,@Dude_Br0 but maybe toughest finals opponent ever?
1257,https://t.co/X0XuU7LIJq @Foursquare
1258,New post from @LarsLuv https://t.co/MuWgiy6pdW
1259,Here comes the API Economy https://t.co/H5QbymHxsj
1260,"A great honor to hang out with Nas, the G.O.A.T. From the BBQ to Live at the BBQ. He is the best. https://t.co/BCGu91e4WW"
1261,@mollybloom @tedr @jw @FeliciaHorowitz Those shirts are a weak marketing gimmick by the NBA to simulate fan enthusi… https://t.co/lOzSOfSpgI
1262,"We met with KOURAJ, the leading LGBT advocate group in Haiti. Courage is definitely the right… https://t.co/P2NA1yO3Fq"
1263,"We met with Marie Evaligne today, General Secretary of SOFA, the leading feminist organization… https://t.co/oYyJjkZVqz"
1264,"I am excited to be in Haiti, home of my hero Toussaint L'Ouverture. https://t.co/0IFPtY7zgx"
1265,How rough is it when the Dominican Republican expels you from the country for having Haitian… https://t.co/ZvUXP9qPKw
1266,@djfberry I explain it in this talk https://t.co/jE9YapbWag
1267,Getting ready to speak at #HaitiTechSummit. Looking to Toussaint for wisdom and inspiration. @FeliciaHorowitz https://t.co/Sd6z15EZs5
1268,@random_thots @FeliciaHorowitz I appreciate you noticing that :-).
1269,https://t.co/g86GaQJbyl
1270,A great profile on @jeff_jordan https://t.co/p3UnH7T1DA
1271,@dnf Let me know what she thinks!
1272,I wrote a new post on distribution  https://t.co/ZFaVdP83eq @a16z
1273,"@smc90 @ericfranchi of course, you could have just asked me :-)"
1274,@MichaelBabich @a16z @pmarca https://t.co/ZFaVdP83eq
1275,@TeddyBeingTeddy @a16z did you listen to how he says it? It's actually a dope lyric.
1276,@JamarlinMartin the quotes in the book had to be licensed and published in the form specified by the artist.
1277,"@JamarlinMartin the difference is that I charge for the book, so there is a royalty and an intellectual property right."
1278,"@JamarlinMartin the book came out before that conversation. Also, I would not quote a white person using those lyrics."
1279,@JamarlinMartin the book came out March 2014. It was sent to the publisher about 6 months prior to that.
1280,"@calinative @JamarlinMartin No, I was trying to give the artist credit for the original idea and did not have the right to change it."
1281,@JamarlinMartin that was autogenerated by Rap Genius. I stopped using the program that way after he pointed it out.
1282,@JamarlinMartin My intention with all of this has been to credit the artists whose ideas I used.
1283,@JamarlinMartin i just got back from doing relief work in Haiti and keynoting the tech summit there. But think whatever you like.
1284,I second that @NaithanJones. His work is a gift for all of us. Thank you @Passionweiss for brightening the day. https://t.co/9goEpNBArT
1285,@ericzawo @NaithanJones @Passionweiss @NaithanJones and I have been reading all his stuff from Prince's assless pan… https://t.co/SuW7fjGhUv
1286,@TeddyBeingTeddy @a16z I appreciate you doing the work and being honest. So rare on Twitter!!
1287,I agree with this. You kind of have to be in market and trying to make money and get to the next round before it ma… https://t.co/VJju8RVimB
1288,@CTOAdvisor Yep. It's a big issue that people don't talk about enough. It's super confusing for CEOs. Bootstrapping… https://t.co/7yay9SfmqX
1289,@BrennerSpear @TadeOyerinde @Uber @eiaine @realSimonBurns @brackin true. I would not.
1290,I am super excited to be working with @jorgeconde__ https://t.co/u3MlkaPFw5 !!!
1291,@dejon97 I think you are right in that nothing (no policy changes) would be as powerful as that. I think I have one… https://t.co/qOzKlt743q
1292,"@dejon97 Yes or Doug Williams for NFL Quarterbacks. Once you open people's eyes, greed takes over."
